,timestamp,tweet_text,username,all_hashtags,followers_count,text
342,6/1/2019 9:54,@sixitsports Australia will win  #WiNiT  #SiXiT #Contest #Predict  #Win  @sixitsports  #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz  Join  @ajay @vijay,b'ImPriyanka199',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",212,australia will win   winit    sixit   contest   predict    win      afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz   join
343,6/1/2019 9:51,@sixitsports AUSTRALIA 🇦🇺  #WiNiT  #SiXiT #Contest #Predict  #Win @sixitsports  #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz  Join in guys @piyushpuri12 @itzzmesush @Gaurang321 @sumit_vidu @sanjanacutie @RajniPundhir,b'RajniPundhir',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",58,australia    winit    sixit   contest   predict    win     afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz   join in guys
344,6/1/2019 9:51,@sixitsports Answer : Australia  #WiNiT  #SiXiT #Contest #Predict  #Win @sixitsports  #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19  #Bristol #CWC2019 #WorldCupquiz  Join friends @Vandana20855753  @Vihan_Singh_10  @PratikSingh_,b'prince084',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",273,answer : australia   winit    sixit   contest   predict    win     afgvsaus   afghanatalan   australia   cricket   cwc19    bristol   cwc2019   worldcupquiz   join friends
345,6/1/2019 9:50,@sixitsports Australia will win  #WiNiT  #SiXiT #Contest #Predict  #Win @sixitsports #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz  tag @aniruddha_gba  @pushpendra1437  @amityad86695697  @Rk70595Rk,b'chasetowin',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",101,australia will win   winit    sixit   contest   predict    win    afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz   tag
346,6/1/2019 9:50,@sixitsports Australia Win Today #WiNiT #SiXiT #Contest #Predict #Win  #AFGvsAUS #AfghanAtalan #Australia #cricket #Bristol #CWC2019 #WorldCupquiz,b'JKasturiya',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'Bristol', 'CWC2019', 'WorldCupquiz']",12,australia win today  winit   sixit   contest   predict   win    afgvsaus   afghanatalan   australia   cricket   bristol   cwc2019   worldcupquiz 
347,6/1/2019 9:49,@sixitsports Australia will win  #WiNiT  #SiXiT #Contest #Predict  #Win  @sixitsports  #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz  Join  @Lovely_Sathish  @itsazeena  @rsairajeswari,b'CricketIsLife99',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",558,australia will win   winit    sixit   contest   predict    win      afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz   join
348,6/1/2019 9:49,@sixitsports Australia Win Today #WiNiT #SiXiT #Contest #Predict #Win  #AFGvsAUS #AfghanAtalan #Australia #cricket #Bristol #CWC2019 #WorldCupquiz,b'RudraSeraji',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'Bristol', 'CWC2019', 'WorldCupquiz']",3,australia win today  winit   sixit   contest   predict   win    afgvsaus   afghanatalan   australia   cricket   bristol   cwc2019   worldcupquiz 
349,6/1/2019 9:48,@sixitsports Australia Win Today #WiNiT #SiXiT #Contest #Predict #Win  #AFGvsAUS #AfghanAtala #Australia #cricket #Bristol #CWC2019 #WorldCupquiz,b'MiralParmar2',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtala', 'Australia', 'cricket', 'Bristol', 'CWC2019', 'WorldCupquiz']",15,australia win today  winit   sixit   contest   predict   win    afgvsaus   afghanatala   australia   cricket   bristol   cwc2019   worldcupquiz 
350,6/1/2019 9:48,@sixitsports Ans==&gt; Australia will win.   #WiNiT  #SiXiT #Contest #Predict  #Win @sixitsports #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz  JOIN @SociallyMayank @babu_gudia @ShantiVB6 @ujjwal_555 @HimanshuB71 @impcmaniacruhi @Yellowpetals @stopthestart,b'ArpanOnline',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",786,ans==&gt; australia will win.    winit    sixit   contest   predict    win    afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz   join
351,6/1/2019 9:48,@sixitsports Australia will win  #WiNiT  #SiXiT #Contest #Predict  #Win @sixitsports #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz  Join @ItikaNaik10 @karthik7710 @ankitraj2606  @anil99912 @teja999 @Abu_blr @Avivishnu9 @Sai99920 @venkat999918,b'Navyavegi',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",94,australia will win   winit    sixit   contest   predict    win    afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz   join
