timestamp,tweet_text,username,all_hashtags,followers_count
6/1/2019 13:59,@SmartCrowdAE Answer2) Australia 🇦🇺  #WorldCup2019Quiz  #SmartCrowdContest #AFGvsAUS @SmartCrowdAE,b'iamAddy93',"['WorldCup2019Quiz', 'SmartCrowdContest', 'AFGvsAUS']",110
6/1/2019 13:57,Brilliant innings being played by @RahmatShah_08 .... but sigh @StarSportsIndia is not showing #AFGvsAUS in HD even after the #NZvSL is over!,b'mallai_lama',"['AFGvsAUS', 'NZvSL']",51
6/1/2019 13:56,Hey @willowtv ... Can you switch the TV stream to #AFGvsAUS game? The #NZvSL game is over.,b'ameyabee',"['AFGvsAUS', 'NZvSL']",34
6/1/2019 13:53,Wonderful weather for the cricket and beers! #afgvsaus #iccworldcup2019 #bristol #beers🍻 @ Bristol County Ground https://t.co/V6VC0damHr,b'BestiBecky',"['afgvsaus', 'iccworldcup2019', 'bristol', 'beers']",64
6/1/2019 13:52,Is that a T20 world cup😒 #ICCWC2019 #NZvSL #SLvNZ #AFGvsAUS #AUSvAFG,b'OriginalShishir',"['ICCWC2019', 'NZvSL', 'SLvNZ', 'AFGvsAUS', 'AUSvAFG']",131
6/1/2019 13:44,Are the fuckwit fanatics over there or are they only going to turn up if the Aussie’s are in the semis #cwc19 #AFGvsAUS,b'damochandler',"['cwc19', 'AFGvsAUS']",1809
6/1/2019 13:41,Amazing support for the Afghanistan team in the stadium. Every run is being cheered. Great to see the fans backing their team while they rebuild from the initial collapse. #AFGvsAUS #CWC19,b'lakshits11',"['AFGvsAUS', 'CWC19']",56
6/1/2019 13:37,"In this game, Australia is always a tough opponent but our boys are proving their mettle after an stormy start. We belong to this leagues. Go blue tigers. #AFGvsAUS #CWC19 @AusEmbAfg https://t.co/QXa9DTEORr",b'AndishaNasir',"['AFGvsAUS', 'CWC19']",17438
6/1/2019 13:36,Carey nearly bottled that #AFGvsAUS,b'DanielCherny',['AFGvsAUS'],11981
6/1/2019 13:31,"Old school style batting by #Afghanistan , 27 of 42 balls , bit slow  #AFGvsAUS #CricketWorldCup",b'GregoryTaylor86',"['Afghanistan', 'AFGvsAUS', 'CricketWorldCup']",1112
6/1/2019 13:28,"I know it’s not the most important thing, but why is Stoinis wearing black socks? #AFGvsAUS",b'danielcannan',['AFGvsAUS'],21
6/1/2019 13:27,"#AFGvsAUS , ICC Cricket World Cup 2019: #Afghanistan Bowler Hamid Hassan Makes Comeback to Side After 2 Years Following a Life-Threatening Injury #AUSvAFG #HamidHassan #CWC19 #AfghanAtalan @ACBofficials #Australia #ICCWorldCup2019 #CWC2019WithLatestLY  https://t.co/IiqIkDnJ2q",b'latestly',"['AFGvsAUS', 'Afghanistan', 'AUSvAFG', 'HamidHassan', 'CWC19', 'AfghanAtalan', 'Australia', 'ICCWorldCup2019', 'CWC2019WithLatestLY']",31694
6/1/2019 13:25,@AadiLECE @stevesmith49 @davidwarner31 @mitchellstarc1 @StarSportsIndia Watch on Star Sports 3. #AUSvsAFG #AFGvsAUS,b'AmjaAugustie',"['AUSvsAFG', 'AFGvsAUS']",308
6/1/2019 13:24,@StarSportsIndia Did u guys forget to telecast #AFGvsAUS😕?,b'Sarcast25579130',['AFGvsAUS'],0
6/1/2019 13:22,#AFGvsAUS #CWC19 @cricketcomau what is the name of this cow paddock this game is being played at?!,b'GlennMcCallum',"['AFGvsAUS', 'CWC19']",79
6/1/2019 13:20,Opening pair goal #AFGvAUS #AFGvsAUS #CWC19 #CWC2019 https://t.co/t84zs0mpDC,b'DynamiteXI',"['AFGvAUS', 'AFGvsAUS', 'CWC19', 'CWC2019']",745
